SRR Genotype BioRep Timepoint Treatment Combined TechRep
SRR11934447-408 WT 3 4h avrRpm1 WT_3_4h_avrRpm1 TRUE
SRR11934448-409 WT 1 8h EV WT_1_8h_EV TRUE
SRR11934449-410 WT 3 4h avrRpt2 WT_3_4h_avrRpt2 TRUE
SRR11934450-411 WT 1 8h avrRps4 WT_1_8h_avrRps4 TRUE
SRR11934451-412 WT 3 8h EV WT_3_8h_EV TRUE
SRR11934452-413 WT 1 8h avrRpm1 WT_1_8h_avrRpm1 TRUE
SRR11934453-414 WT 2 8h avrRps4 WT_2_8h_avrRps4 TRUE
SRR11934454-415 WT 1 0.5h EV WT_1_0.5h_EV TRUE
SRR11934455-416 WT 2 8h avrRpm1 WT_2_8h_avrRpm1 TRUE
SRR11934456-417 WT 3 8h avrRps4 WT_3_8h_avrRps4 TRUE
SRR11934457-418 WT 1 8h avrRpt2 WT_1_8h_avrRpt2 TRUE
SRR11934458-419 WT 2 0.5h EV WT_2_0.5h_EV TRUE
SRR11934459-420 WT 1 0.5h avrRps4 WT_1_0.5h_avrRps4 TRUE
SRR11934460-421 WT 3 8h avrRpm1 WT_3_8h_avrRpm1 TRUE
SRR11934461-422 WT 2 8h avrRpt2 WT_2_8h_avrRpt2 TRUE
SRR11934462-423 WT 3 0.5h EV WT_3_0.5h_EV TRUE
SRR11934463-424 WT 1 0.5h avrRpm1 WT_1_0.5h_avrRpm1 TRUE
SRR11934464-425 WT 2 0.5h avrRps4 WT_2_0.5h_avrRps4 TRUE
SRR11934465-426 WT 3 8h avrRpt2 WT_3_8h_avrRpt2 TRUE
SRR11934466-427 WT 2 0.5h avrRpm1 WT_2_0.5h_avrRpm1 TRUE
SRR11934467-428 WT 3 0.5h avrRps4 WT_3_0.5h_avrRps4 TRUE
SRR11934468-429 WT 1 0.5h avrRpt2 WT_1_0.5h_avrRpt2 TRUE
SRR11934469-430 WT 2 4h avrRpt2 WT_2_4h_avrRpt2 TRUE
SRR11934470-431 WT 3 0.5h avrRpm1 WT_3_0.5h_avrRpm1 TRUE
SRR11934471-432 WT 2 0.5h avrRpt2 WT_2_0.5h_avrRpt2 TRUE
SRR11934472-433 WT 2 8h EV WT_2_8h_EV TRUE
